% # columns="iter, evals, sigma, 0, fitness, xbest" seed=1006688, Wed Oct  8 16:54:57 2025, <python>{}</python>
1 10 20.885467539489568 0 0.7903216666666667 141.90538873050065 86.59148042533393 123.64743113568113 69.51653808513234 -39.71819190954703 32.7033474835625 -2.919157194438604 2.525234144612755
2 20 21.306403175815163 0 0.718575 128.1981380009042 83.39997285708918 146.05704912923875 73.81313317364392 -54.934395521439455 -19.581072874240427 11.537792827182034 6.050112922048868
3 30 21.747197535746444 0 0.718575 135.61114170175324 123.93258685050964 119.62111267123134 65.27126653277105 -40.13178214429782 -3.9109286598900974 20.90169799019923 -3.855348595703642
4 40 23.690660737326166 0 0.718575 168.997036406207 92.83711052584582 142.72464494336734 65.38725694914083 -53.284266569113534 -16.429708551336883 -3.977221703670107 -16.28004268892688
5 50 26.464651049856503 0 0.718575 191.7447583551415 97.09145609858554 133.56392616650263 84.90493493218557 -104.61101263522741 -51.23570521259856 23.315496201038272 -4.40485423177206
6 60 28.04043698062072 0 0.718575 209.6535455862163 141.810717044959 149.7917746197219 81.76355804385082 -105.98448968448308 -48.28789433214861 -17.406518618676344 -40.51336955577733
7 70 30.402554973004 0 0.718575 220.18059329267197 120.84592622980006 135.87739996877391 135.95401216970834 -172.40021066504556 -73.97274913415487 33.5229328673235 -32.643422747568565
8 80 31.210245246599847 0 0.718575 213.10254610815466 126.92329588643507 129.10636500507638 80.65248870744863 -101.66084385183667 -71.34871833204487 32.93036587667309 18.73642347389734
9 90 31.050472879285994 0 0.718575 263.0208097269917 116.56697724912506 187.99815321876423 86.83556076416522 -184.2477890568877 -125.53561283042502 79.01615087967093 44.42598792509819
10 100 28.82950297463565 0 0.718575 233.58285081218528 133.50438257769537 147.39584214307317 70.9440714600619 -82.29335355668894 -62.20117098276708 16.21268277385758 9.33318581000536
11 110 28.710196765697383 0 0.718575 264.88187792021785 127.32220778805927 167.80659756664758 116.50643494600135 -130.87606968426135 -40.42313171820483 79.91901731734791 30.617114568636175
12 120 29.271873624730194 0 0.718575 246.31092442772933 141.43427830195344 135.95168325285988 126.99939704767462 -79.51212949589831 -35.46600253254884 34.1978988579776 25.31407739462937
13 130 27.62587729847868 0 0.718575 293.24523130627165 120.92499906671951 169.51113047262623 127.2182850100251 -109.63830267699484 -75.16463824106673 69.7130974524521 28.368077056677492
14 140 26.276838838254566 0 0.718575 293.21391628455365 112.48787112971908 160.51810369176988 79.47362359552831 -91.37266273411642 -35.18779135631241 84.20125585164294 34.59269617414955
15 150 25.18159673123612 0 0.718575 279.01070262487815 145.1107735431841 185.46430680052106 115.94660239552212 -85.66189816179526 -52.41598792337024 70.27756707431574 -11.327314003887766
16 160 25.437117499839754 0 0.718575 312.73615615607446 114.03798416185622 166.7702189210304 109.39986147473803 -77.9120354482589 -37.7989633000339 29.43488659677536 8.442912166748018
