% # columns="iteration, evaluation, void, void, void, xmean", seed=1006688, Wed Oct  8 16:54:57 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 125.10463226680754 78.90173181188584 131.95498591380584 64.41662619550229 -32.09384902870067 12.249476561242375 -0.8229154977807507 -10.827271177569632
2 20 0 0 0 139.07671718005528 84.19391147256928 137.3601663000096 74.44436000649893 -37.52661954719579 2.108171467730714 5.940676620188753 0.5235291724538308
3 30 0 0 0 137.26245479196106 107.21782562711614 123.09745236285123 70.48556222982675 -43.799226588379376 -5.618788597019056 16.37641635345516 4.121406790437191
4 40 0 0 0 161.40039468486967 107.81078160373659 135.87413657838061 84.54493005158727 -59.368775402032625 -23.570917000166542 2.969076950059002 -11.009289319712046
5 50 0 0 0 183.41531577251567 96.17938808897078 138.88491079954684 88.27921972730172 -82.30857711154003 -39.90709172038701 17.93998109615299 -12.990288789823035
6 60 0 0 0 195.00365352880283 124.98589194203497 138.89392294127413 83.60836359259336 -98.56421847476525 -37.59986473914978 12.365376267509527 -22.434870968848085
7 70 0 0 0 217.87544711437923 117.31038447496533 142.49516838155176 115.34863209141905 -122.7511200596551 -60.66650139310963 28.2928401567074 -24.876428857926477
8 80 0 0 0 205.53627617021135 131.42086548761876 128.0821306908832 88.67465859137944 -110.54662654984384 -64.53460404193736 35.52277512350809 15.138333755861659
9 90 0 0 0 198.534117013217 145.6852676634866 154.92008416795542 85.98158071179822 -97.7376790057697 -67.94375365636962 30.775807308126552 15.222625157281874
10 100 0 0 0 220.96158318105748 132.3801191504449 163.985934302131 92.76261712760564 -111.25632086362994 -66.49755559750406 34.95107473460109 18.243454603509576
11 110 0 0 0 242.70332909187232 131.24084282216475 163.2470002526412 112.2619451940855 -118.89375869098835 -52.52284246535867 60.491798221265356 7.022639633616202
12 120 0 0 0 242.66979376741875 142.36394930664977 148.83252428590586 119.46102455328163 -94.08829699681067 -43.46679530126722 50.52172000396604 23.643620454303115
13 130 0 0 0 266.2479020890543 136.74012169399498 155.67460365190232 112.96029075764305 -102.12325783429418 -58.1402848690404 56.145908321947005 23.577105505854416
14 140 0 0 0 283.36353012923854 131.98135293559122 161.8010801116271 105.74280312508434 -108.42431365671334 -54.67758713782566 69.41964008274374 15.856363856856257
15 150 0 0 0 279.8583737474677 139.4715159676 178.3564586221559 117.77987489954475 -99.0106132375343 -43.79865829688877 58.488479146487485 2.3329641520722597
16 160 0 0 0 297.60602112552175 118.21399976526975 166.34667395220967 121.82680967549565 -95.77658710285415 -30.573039831782847 44.44335846127125 7.949112558460693
